,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,case_id,num_classes,classes
392,392,392,392,case_2392,9,"[50, 53, 70, 116, 175, 197, 221, 223, 230]"
639,639,639,639,case_2639,20,"[24, 29, 50, 53, 85, 103, 113, 114, 116, 130, 146, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
262,262,262,262,case_2262,20,"[24, 29, 50, 53, 85, 103, 113, 114, 116, 130, 146, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
686,686,686,686,case_2686,20,"[24, 29, 50, 53, 85, 103, 113, 114, 116, 130, 146, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
658,658,658,658,case_2658,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
672,672,672,672,case_2672,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
946,946,946,946,case_2946,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
687,687,687,687,case_2687,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
118,118,118,118,case_2118,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
490,490,490,490,case_2490,21,"[24, 41, 50, 53, 70, 85, 103, 112, 116, 130, 152, 155, 175, 180, 197, 204, 221, 223, 230, 238, 242]"
363,363,363,363,case_2363,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
354,354,354,354,case_2354,21,"[29, 41, 50, 53, 63, 70, 97, 103, 116, 130, 146, 153, 175, 180, 197, 221, 223, 230, 238, 242, 247]"
113,113,113,113,case_2113,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
554,554,554,554,case_2554,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
670,670,670,670,case_2670,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
644,644,644,644,case_2644,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
159,159,159,159,case_2159,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
238,238,238,238,case_2238,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
160,160,160,160,case_2160,21,"[24, 29, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 242, 247]"
81,81,81,81,case_2081,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
682,682,682,682,case_2682,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
90,90,90,90,case_2090,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
598,598,598,598,case_2598,23,"[24, 29, 50, 53, 70, 85, 103, 113, 114, 116, 130, 146, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
684,684,684,684,case_2684,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
803,803,803,803,case_2803,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
1032,1032,1032,1032,case_5419,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
975,975,975,975,case_2975,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
42,42,42,42,case_2042,23,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 238, 242, 247]"
905,905,905,905,case_2905,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
965,965,965,965,case_2965,23,"[24, 41, 50, 53, 63, 70, 85, 97, 103, 113, 116, 130, 153, 155, 175, 180, 188, 197, 221, 223, 230, 238, 242]"
846,846,846,846,case_2846,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
888,888,888,888,case_2888,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
236,236,236,236,case_2236,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
264,264,264,264,case_2264,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
456,456,456,456,case_2456,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
557,557,557,557,case_2557,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
112,112,112,112,case_2112,23,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 223, 230, 238, 242, 247]"
660,660,660,660,case_2660,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
129,129,129,129,case_2129,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
136,136,136,136,case_2136,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
152,152,152,152,case_2152,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
162,162,162,162,case_2162,23,"[24, 29, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 242, 247]"
862,862,862,862,case_2862,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
861,861,861,861,case_2861,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
814,814,814,814,case_2814,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
804,804,804,804,case_2804,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
821,821,821,821,case_2821,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
773,773,773,773,case_2773,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
661,661,661,661,case_2661,24,"[24, 29, 50, 53, 63, 85, 97, 103, 112, 114, 116, 130, 146, 152, 153, 155, 175, 176, 180, 204, 223, 230, 242, 247]"
756,756,756,756,case_2756,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
791,791,791,791,case_2791,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
747,747,747,747,case_2747,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
